# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.083629 0.557467
0.080808 0.167259 1.098999
0.121212 0.250888 1.624596
0.161616 0.334518 2.134260
0.202020 0.418147 2.627989
0.242424 0.501776 3.105783
0.282828 0.585406 3.567643
0.323232 0.669035 4.013569
0.363636 0.752665 4.443560
0.404040 0.836294 4.857617
0.444444 0.919924 5.255739
0.484848 1.003553 5.637927
0.525253 1.087182 6.004180
0.565657 1.170812 6.354499
0.606061 1.254441 6.688884
0.646465 1.338071 7.007334
0.686869 1.421700 7.309850
0.727273 1.505329 7.596431
0.767677 1.588959 7.867078
0.808081 1.672588 8.121790
0.848485 1.756218 8.360569
0.888889 1.839847 8.583412
0.929293 1.923476 8.790321
0.969697 2.007106 8.981296
1.010101 2.090735 9.156336
1.050505 2.174365 9.315442
1.090909 2.257994 9.458614
1.131313 2.341624 9.585851
1.171717 2.425253 9.697153
1.212121 2.508882 9.792522
1.252525 2.592512 9.871955
1.292929 2.676141 9.935455
1.333333 2.759771 9.983020
1.373737 2.843400 10.014650
1.414141 2.927029 10.030346
1.454545 3.010659 10.030108
1.494949 3.094288 10.013935
1.535354 3.177918 9.981828
1.575758 3.261547 9.933786
1.616162 3.345177 9.869810
1.656566 3.428806 9.789899
1.696970 3.512435 9.694055
1.737374 3.596065 9.582275
1.777778 3.679694 9.454561
1.818182 3.763324 9.310913
1.858586 3.846953 9.151331
1.898990 3.930582 8.975813
1.939394 4.014212 8.784362
1.979798 4.097841 8.576976
2.020202 4.181471 8.353656
2.060606 4.265100 8.114401
2.101010 4.348729 7.859212
2.141414 4.432359 7.588088
2.181818 4.515988 7.301030
2.222222 4.599618 6.998037
2.262626 4.683247 6.679111
2.303030 4.766877 6.344249
2.343434 4.850506 5.993453
2.383838 4.934135 5.626723
2.424242 5.017765 5.244059
2.464646 5.101394 4.845460
2.505051 5.185024 4.430926
2.545455 5.268653 4.000458
2.585859 5.352282 3.554056
2.626263 5.435912 3.091719
2.666667 5.519541 2.613448
2.707071 5.603171 2.119242
2.747475 5.686800 1.609102
2.787879 5.770429 1.083028
2.828283 5.854059 0.541019
2.868687 5.937688 -0.016925
2.909091 6.021318 -0.590802
2.949495 6.104947 -1.180615
2.989899 6.188577 -1.786361
3.030303 6.272206 -2.408042
3.070707 6.355835 -3.045658
3.111111 6.439465 -3.699208
3.151515 6.523094 -4.368692
3.191919 6.606724 -5.054111
3.232323 6.690353 -5.755464
3.272727 6.773982 -6.472751
3.313131 6.857612 -7.205973
3.353535 6.941241 -7.955130
3.393939 7.024871 -8.720221
3.434343 7.108500 -9.501246
3.474747 7.192129 -10.298206
3.515152 7.275759 -11.111100
3.555556 7.359388 -11.939929
3.595960 7.443018 -12.784692
3.636364 7.526647 -13.645389
3.676768 7.610277 -14.522021
3.717172 7.693906 -15.414587
3.757576 7.777535 -16.323088
3.797980 7.861165 -17.247523
3.838384 7.944794 -18.187893
3.878788 8.028424 -19.144197
3.919192 8.112053 -20.116435
3.959596 8.195682 -21.104608
4.000000 8.279312 -22.108715
