# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.097066 1.078297
0.080808 0.194133 2.140588
0.121212 0.291199 3.186874
0.161616 0.388266 4.217155
0.202020 0.485332 5.231431
0.242424 0.582398 6.229701
0.282828 0.679465 7.211967
0.323232 0.776531 8.178227
0.363636 0.873597 9.128482
0.404040 0.970664 10.062732
0.444444 1.067730 10.980977
0.484848 1.164797 11.883216
0.525253 1.261863 12.769451
0.565657 1.358929 13.639680
0.606061 1.455996 14.493904
0.646465 1.553062 15.332123
0.686869 1.650128 16.154337
0.727273 1.747195 16.960545
0.767677 1.844261 17.750748
0.808081 1.941328 18.524946
0.848485 2.038394 19.283139
0.888889 2.135460 20.025327
0.929293 2.232527 20.751510
0.969697 2.329593 21.461687
1.010101 2.426659 22.155859
1.050505 2.523726 22.834026
1.090909 2.620792 23.496188
1.131313 2.717859 24.142345
1.171717 2.814925 24.772497
1.212121 2.911991 25.386643
1.252525 3.009058 25.984784
1.292929 3.106124 26.566920
1.333333 3.203190 27.133051
1.373737 3.300257 27.683176
1.414141 3.397323 28.217297
1.454545 3.494390 28.735412
1.494949 3.591456 29.237522
1.535354 3.688522 29.723627
1.575758 3.785589 30.193727
1.616162 3.882655 30.647821
1.656566 3.979721 31.085911
1.696970 4.076788 31.507995
1.737374 4.173854 31.914074
1.777778 4.270921 32.304148
1.818182 4.367987 32.678216
1.858586 4.465053 33.036280
1.898990 4.562120 33.378338
1.939394 4.659186 33.704391
1.979798 4.756252 34.014439
2.020202 4.853319 34.308482
2.060606 4.950385 34.586520
2.101010 5.047452 34.848552
2.141414 5.144518 35.094579
2.181818 5.241584 35.324601
2.222222 5.338651 35.538618
2.262626 5.435717 35.736630
2.303030 5.532783 35.918636
2.343434 5.629850 36.084638
2.383838 5.726916 36.234634
2.424242 5.823983 36.368625
2.464646 5.921049 36.486611
2.505051 6.018115 36.588591
2.545455 6.115182 36.674567
2.585859 6.212248 36.744537
2.626263 6.309314 36.798502
2.666667 6.406381 36.836462
2.707071 6.503447 36.858417
2.747475 6.600514 36.864366
2.787879 6.697580 36.854311
2.828283 6.794646 36.828250
2.868687 6.891713 36.786184
2.909091 6.988779 36.728113
2.949495 7.085846 36.654036
2.989899 7.182912 36.563955
3.030303 7.279978 36.457868
3.070707 7.377045 36.335776
3.111111 7.474111 36.197679
3.151515 7.571177 36.043577
3.191919 7.668244 35.873469
3.232323 7.765310 35.687357
3.272727 7.862377 35.485239
3.313131 7.959443 35.267116
3.353535 8.056509 35.032988
3.393939 8.153576 34.782855
3.434343 8.250642 34.516716
3.474747 8.347708 34.234573
3.515152 8.444775 33.936424
3.555556 8.541841 33.622270
3.595960 8.638908 33.292110
3.636364 8.735974 32.945946
3.676768 8.833040 32.583776
3.717172 8.930107 32.205602
3.757576 9.027173 31.811422
3.797980 9.124239 31.401237
3.838384 9.221306 30.975046
3.878788 9.318372 30.532851
3.919192 9.415439 30.074650
3.959596 9.512505 29.600444
4.000000 9.609571 29.110234
