# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.055799 0.417780
0.080808 0.111598 0.819508
0.121212 0.167398 1.205184
0.161616 0.223197 1.574809
0.202020 0.278996 1.928381
0.242424 0.334795 2.265901
0.282828 0.390594 2.587370
0.323232 0.446394 2.892786
0.363636 0.502193 3.182150
0.404040 0.557992 3.455463
0.444444 0.613791 3.712723
0.484848 0.669590 3.953932
0.525253 0.725389 4.179089
0.565657 0.781189 4.388193
0.606061 0.836988 4.581246
0.646465 0.892787 4.758247
0.686869 0.948586 4.919196
0.727273 1.004385 5.064093
0.767677 1.060185 5.192938
0.808081 1.115984 5.305731
0.848485 1.171783 5.402472
0.888889 1.227582 5.483161
0.929293 1.283381 5.547798
0.969697 1.339181 5.596383
1.010101 1.394980 5.628916
1.050505 1.450779 5.645397
1.090909 1.506578 5.645827
1.131313 1.562377 5.630204
1.171717 1.618177 5.598529
1.212121 1.673976 5.550803
1.252525 1.729775 5.487024
1.292929 1.785574 5.407194
1.333333 1.841373 5.311311
1.373737 1.897173 5.199377
1.414141 1.952972 5.071391
1.454545 2.008771 4.927352
1.494949 2.064570 4.767262
1.535354 2.120369 4.591120
1.575758 2.176168 4.398926
1.616162 2.231968 4.190680
1.656566 2.287767 3.966382
1.696970 2.343566 3.726032
1.737374 2.399365 3.469630
1.777778 2.455164 3.197176
1.818182 2.510964 2.908670
1.858586 2.566763 2.604112
1.898990 2.622562 2.283502
1.939394 2.678361 1.946840
1.979798 2.734160 1.594127
2.020202 2.789960 1.225361
2.060606 2.845759 0.840543
2.101010 2.901558 0.439674
2.141414 2.957357 0.022752
2.181818 3.013156 -0.410221
2.222222 3.068956 -0.859246
2.262626 3.124755 -1.324324
2.303030 3.180554 -1.805453
2.343434 3.236353 -2.302634
2.383838 3.292152 -2.815868
2.424242 3.347952 -3.345153
2.464646 3.403751 -3.890490
2.505051 3.459550 -4.451879
2.545455 3.515349 -5.029320
2.585859 3.571148 -5.622813
2.626263 3.626947 -6.232358
2.666667 3.682747 -6.857955
2.707071 3.738546 -7.499604
2.747475 3.794345 -8.157305
2.787879 3.850144 -8.831057
2.828283 3.905943 -9.520862
2.868687 3.961743 -10.226719
2.909091 4.017542 -10.948627
2.949495 4.073341 -11.686588
2.989899 4.129140 -12.440600
3.030303 4.184939 -13.210665
3.070707 4.240739 -13.996781
3.111111 4.296538 -14.798950
3.151515 4.352337 -15.617170
3.191919 4.408136 -16.451442
3.232323 4.463935 -17.301767
3.272727 4.519735 -18.168143
3.313131 4.575534 -19.050571
3.353535 4.631333 -19.949051
3.393939 4.687132 -20.863583
3.434343 4.742931 -21.794167
3.474747 4.798731 -22.740803
3.515152 4.854530 -23.703491
3.555556 4.910329 -24.682231
3.595960 4.966128 -25.677023
3.636364 5.021927 -26.687867
3.676768 5.077726 -27.714762
3.717172 5.133526 -28.757710
3.757576 5.189325 -29.816710
3.797980 5.245124 -30.891761
3.838384 5.300923 -31.982865
3.878788 5.356722 -33.090020
3.919192 5.412522 -34.213228
3.959596 5.468321 -35.352487
4.000000 5.524120 -36.507799
