# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.025965 1.043376
0.080808 0.051930 2.070781
0.121212 0.077896 3.082214
0.161616 0.103861 4.077676
0.202020 0.129826 5.057166
0.242424 0.155791 6.020685
0.282828 0.181756 6.968232
0.323232 0.207721 7.899808
0.363636 0.233687 8.815413
0.404040 0.259652 9.715046
0.444444 0.285617 10.598708
0.484848 0.311582 11.466398
0.525253 0.337547 12.318116
0.565657 0.363513 13.153864
0.606061 0.389478 13.973639
0.646465 0.415443 14.777444
0.686869 0.441408 15.565277
0.727273 0.467373 16.337138
0.767677 0.493338 17.093028
0.808081 0.519304 17.832947
0.848485 0.545269 18.556894
0.888889 0.571234 19.264869
0.929293 0.597199 19.956873
0.969697 0.623164 20.632906
1.010101 0.649130 21.292967
1.050505 0.675095 21.937057
1.090909 0.701060 22.565175
1.131313 0.727025 23.177322
1.171717 0.752990 23.773498
1.212121 0.778955 24.353702
1.252525 0.804921 24.917934
1.292929 0.830886 25.466195
1.333333 0.856851 25.998485
1.373737 0.882816 26.514803
1.414141 0.908781 27.015150
1.454545 0.934747 27.499525
1.494949 0.960712 27.967929
1.535354 0.986677 28.420361
1.575758 1.012642 28.856822
1.616162 1.038607 29.277312
1.656566 1.064572 29.681830
1.696970 1.090538 30.070376
1.737374 1.116503 30.442951
1.777778 1.142468 30.799555
1.818182 1.168433 31.140187
1.858586 1.194398 31.464848
1.898990 1.220364 31.773537
1.939394 1.246329 32.066255
1.979798 1.272294 32.343001
2.020202 1.298259 32.603776
2.060606 1.324224 32.848579
2.101010 1.350189 33.077411
2.141414 1.376155 33.290272
2.181818 1.402120 33.487161
2.222222 1.428085 33.668079
2.262626 1.454050 33.833025
2.303030 1.480015 33.982000
2.343434 1.505981 34.115003
2.383838 1.531946 34.232035
2.424242 1.557911 34.333095
2.464646 1.583876 34.418184
2.505051 1.609841 34.487301
2.545455 1.635806 34.540447
2.585859 1.661772 34.577622
2.626263 1.687737 34.598825
2.666667 1.713702 34.604057
2.707071 1.739667 34.593317
2.747475 1.765632 34.566606
2.787879 1.791598 34.523923
2.828283 1.817563 34.465269
2.868687 1.843528 34.390643
2.909091 1.869493 34.300046
2.949495 1.895458 34.193477
2.989899 1.921423 34.070937
3.030303 1.947389 33.932426
3.070707 1.973354 33.777943
3.111111 1.999319 33.607489
3.151515 2.025284 33.421063
3.191919 2.051249 33.218666
3.232323 2.077215 33.000297
3.272727 2.103180 32.765957
3.313131 2.129145 32.515645
3.353535 2.155110 32.249362
3.393939 2.181075 31.967107
3.434343 2.207040 31.668882
3.474747 2.233006 31.354684
3.515152 2.258971 31.024515
3.555556 2.284936 30.678375
3.595960 2.310901 30.316263
3.636364 2.336866 29.938180
3.676768 2.362832 29.544125
3.717172 2.388797 29.134099
3.757576 2.414762 28.708101
3.797980 2.440727 28.266132
3.838384 2.466692 27.808192
3.878788 2.492657 27.334280
3.919192 2.518623 26.844396
3.959596 2.544588 26.338541
4.000000 2.570553 25.816715
